Row,Col,Strain
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
1,2,0
2,2,488.2
3,2,487.3
4,2,489.2
5,2,1
6,2,487.2
7,2,0
8,2,0
1,3,0
2,3,230.2
3,3,1
4,3,485.2
5,3,485.3
6,3,488.1
7,3,0
8,3,0
1,4,0
2,4,230.1
3,4,490.2
4,4,489.1
5,4,485.3
6,4,485.1
7,4,0
8,4,0
1,5,0
2,5,488.2
3,5,489.3
4,5,486.2
5,5,230.3
6,5,487.2
7,5,0
8,5,0
1,6,0
2,6,487.1
3,6,490.1
4,6,485.2
5,6,485.1
6,6,230.1
7,6,0
8,6,0
1,7,0
2,7,488.3
3,7,489.3
4,7,230.3
5,7,486.2
6,7,0
7,7,0
8,7,0
1,8,0
2,8,230.2
3,8,486.3
4,8,486.1
5,8,486.3
6,8,0
7,8,0
8,8,0
1,9,0
2,9,486.1
3,9,488.3
4,9,488.1
5,9,1
6,9,0
7,9,0
8,9,0
1,10,0
2,10,487.1
3,10,489.2
4,10,490.2
5,10,489.1
6,10,0
7,10,0
8,10,0
1,11,0
2,11,490.1
3,11,487.3
4,11,490.3
5,11,490.3
6,11,0
7,11,0
8,11,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
7,12,0
8,12,0
