Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20,Var1_21,Var1_22,Var1_23,Var1_24,Var1_25,Var1_26,Var1_27,Var1_28,Var1_29,Var1_30
1,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,
1,2,3,4,6,7,8,9,10,11,12,14,15,,,,,,,,,,,,,,,,,
1,2,3,4,5,7,8,10,12,13,14,16,17,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,
1,4,5,6,8,9,10,11,12,13,14,15,16,17,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,10,11,14,15,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,,,,
1,2,3,4,5,6,8,9,10,12,13,14,15,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,13,14,15,,,,,,,,,,,,,,,,
1,3,4,5,6,7,8,9,10,11,12,14,15,,,,,,,,,,,,,,,,,
2,3,4,5,6,7,8,9,10,11,12,14,16,,,,,,,,,,,,,,,,,
2,3,5,6,7,8,10,11,12,13,14,15,17,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,15,17,18,19,20,21,23,24,25,26,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,13,14,15,17,18,20,21,22,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,11,12,13,14,16,19,20,,,,,,,,,,,,,,
1,2,3,4,5,6,9,10,11,12,13,15,16,18,19,20,23,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,,,,,,,,,,,,,
1,2,3,4,5,8,9,10,11,12,13,14,16,17,18,19,20,21,23,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,13,15,16,17,18,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,,,,,,,,,,,,,,
1,2,5,6,8,10,13,15,16,17,18,21,24,26,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,12,15,16,17,18,,,,,,,,,,,,,,,,
1,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,
1,2,4,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,,,
1,2,3,5,6,7,8,9,12,13,15,17,20,,,,,,,,,,,,,,,,,
1,2,3,4,5,7,8,9,10,11,12,14,15,17,18,19,20,,,,,,,,,,,,,
1,2,3,5,6,8,9,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,,,,,,,,
1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,
1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,19,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,22,23,25,26,,,,,,,
1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,23,,,,,,,,,,
1,2,4,5,8,9,10,11,13,15,16,18,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,10,11,13,14,17,19,,,,,,,,,,,,,,,,
1,2,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,22,25,26,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,,,,,,,
2,3,4,7,8,9,10,11,12,13,14,17,19,20,,,,,,,,,,,,,,,,
2,3,4,6,7,8,10,11,12,13,14,15,17,18,,,,,,,,,,,,,,,,
2,3,5,6,7,8,9,10,11,12,13,15,16,17,18,19,22,24,25,26,,,,,,,,,,
2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,,,,
3,5,6,7,8,10,11,12,14,15,16,18,20,22,23,25,26,,,,,,,,,,,,,
3,4,5,6,7,9,10,11,12,13,14,15,17,20,22,,,,,,,,,,,,,,,
4,6,7,8,9,11,13,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,
6,7,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,,,,,,,,
6,8,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,,,,,,,,,,,,,
7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,,,,,,,,
7,8,9,11,12,13,15,17,18,20,21,22,23,24,25,27,,,,,,,,,,,,,,
9,10,11,12,13,14,15,16,18,20,22,23,24,25,26,27,,,,,,,,,,,,,,
9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,,,,,,,,,,,,,,,
11,13,15,17,18,19,20,21,22,23,24,25,27,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,21,22,23,25,26,28,30,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,24,25,26,27,30,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,23,26,27,28,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,20,21,22,23,24,25,26,27,28,29,30,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,4,7,8,9,11,12,13,14,15,17,18,20,21,22,24,25,26,28,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,
1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,4,5,6,7,8,9,11,12,14,16,17,18,19,20,21,23,24,25,26,28,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,,,
1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,25,26,27,28,29,30,,
